,Nombre,Apellido 1,Apellido 2,Sexo,Municipio,Provincia,DNI,NIF,Edad,Hijos
0,Francisco,Castro,Cano,H,Lérida,Lérida,8805982,H,6,0
1,Xavier,Gómez,Rendón,H,Córdoba,Córdoba,26616576,X,77,3
2,Carmen,Vázquez,Trenado,M,Sabadell,Barcelona,47915145,,1,0
3,Anna,Alonso,López,M,,Zaragoza,23362379,Z,24,3
4,Manuel,López,Martínez,H,Palma de Mallorca,Islas Baleares,54999682,N,28,2
5,María Dolores,Sánchez,Fernández,,Alhaurín de la Torre,Málaga,11050962,Z,7,0
6,Sergi,Carballo,Reyes,H,Lugo,Lugo,69042448,J,30,0
7,David,Anguita,Bregua,H,Palma de Mallorca,Islas Baleares,59281171,M,60,1
8,Francisco Javier,González,Galiano,H,Valladolid,Valladolid,85518606,Y,29,0
9,Alberto,González,Francés,H,Valencia,Valencia,2019499,F,23,1
10,Juan,Espinosa,Gracia,H,Zaragoza,Zaragoza,54977156,A,20,0
11,Gorka,Domingo,Yang,H,Zaragoza,Zaragoza,93852688,S,46,0
12,José,Marton,Acosta,H,Móstoles,Madrid,40839368,Q,20,3
13,Carmen,Altuna,Lozano,M,Gandía,Valencia,99852210,X,15,0
14,Paula,Arrese,López Pablo,M,Zamora,Zamora,78513802,J,18,0
15,Miguel,Sánchez,Romero,H,Teruel,Teruel,55096995,N,32,0
16,Francisco Javier,Fernández,Martínez,H,Murcia,Murcia,49779214,F,22,0
17,Jordi,Moreno,Márquez,H,Alhaurín de la Torre,Málaga,94561727,X,0,0
18,Ana María,Ingelmo,Gómez,M,Cabra,Córdoba,4735830,S,34,2
19,Fernando,Rincón,Manta,H,Albacete,Albacete,47859727,Q,67,3
20,Nuria,Sauras,Gutiérrez,M,Cádiz,Cádiz,9962446,L,13,0
21,Antonio Miguel,Sánchez,Romero,H,Teruel,Teruel,55096995,N,33,0
22,Josep,Rodríguez,González,H,Castellón de la Plana,Castellón,58607411,F,42,0
23,María Carmen,Hurtado,Arakistain,M,Palma de Mallorca,Islas Baleares,52619947,H,36,3
24,Miguel,Fernández,Gómez,H,Arganda del Rey,Madrid,46129367,S,30,3
25,Ana Isabel,Herrera,Jorquera,M,Palma de Mallorca,Islas Baleares,53370157,Z,0,0
